tbl;Year;quarter;citymarketid_1;citymarketid_2;city1;city2;airportid_1;airportid_2;airport_1;airport_2;nsmiles;passengers;fare;carrier_lg;large_ms;fare_lg;carrier_low;lf_ms;fare_low;tbl1apk;Columna2;Columna1
Table1a;2021;3;30135;33195;Allentown/Bethlehem/Easton, PA;Tampa, FL (Metropolitan Area);10135;14112;ABE;PIE;970;180;8143;G4;10000;8143;G4;10000;8143;202131013514112ABEPIE;;
Table1a;2021;3;30135;33195;Allentown/Bethlehem/Easton, PA;Tampa, FL (Metropolitan Area);10135;15304;ABE;TPA;970;19;20893;DL;4659;21998;UA;1193;15411;202131013515304ABETPA;;
Table1a;2021;3;30140;30194;Albuquerque, NM;Dallas/Fort Worth, TX;10140;11259;ABQ;DAL;580;204;18456;WN;9968;18444;WN;9968;18444;202131014011259ABQDAL;;
Table1a;2021;3;30140;30194;Albuquerque, NM;Dallas/Fort Worth, TX;10140;11298;ABQ;DFW;580;264;18264;AA;9774;18309;AA;9774;18309;202131014011298ABQDFW;;
Table1a;2021;3;30140;30466;Albuquerque, NM;Phoenix, AZ;10140;14107;ABQ;PHX;328;398;17711;WN;6061;18449;AA;3939;16577;202131014014107ABQPHX;;
Table1a;2021;3;30140;30721;Albuquerque, NM;Boston, MA (Metropolitan Area);10140;10721;ABQ;BOS;1974;153;32497;AA;4263;32373;WN;1609;29820;202131014010721ABQBOS;;
Table1a;2021;3;30140;30721;Albuquerque, NM;Boston, MA (Metropolitan Area);10140;13296;ABQ;MHT;1974;16;31590;WN;7285;27042;WN;7285;27042;202131014013296ABQMHT;;
Table1a;2021;3;30140;30721;Albuquerque, NM;Boston, MA (Metropolitan Area);10140;14307;ABQ;PVD;1974;22;32922;WN;5415;27160;WN;5415;27160;202131014014307ABQPVD;;
Table1a;2021;3;30140;30852;Albuquerque, NM;Washington, DC (Metropolitan Area);10140;10821;ABQ;BWI;1670;159;25589;WN;7212;24489;WN;7212;24489;202131014010821ABQBWI;;
Table1a;2021;3;30140;30852;Albuquerque, NM;Washington, DC (Metropolitan Area);10140;11278;ABQ;DCA;1670;151;29116;AA;4404;29688;WN;3197;24720;202131014011278ABQDCA;;
Table1a;2021;3;30140;30852;Albuquerque, NM;Washington, DC (Metropolitan Area);10140;12264;ABQ;IAD;1670;59;34358;UA;5646;38206;WN;1402;26661;202131014012264ABQIAD;;
Table1a;2021;3;30140;30977;Albuquerque, NM;Chicago, IL;10140;13232;ABQ;MDW;1121;99;23166;WN;9934;23085;WN;9934;23085;202131014013232ABQMDW;;
Table1a;2021;3;30140;30977;Albuquerque, NM;Chicago, IL;10140;13930;ABQ;ORD;1121;206;24125;AA;6869;22941;AA;6869;22941;202131014013930ABQORD;;
Table1a;2021;3;30140;31453;Albuquerque, NM;Houston, TX;10140;12191;ABQ;HOU;759;166;20393;WN;9712;20344;WN;9712;20344;202131014012191ABQHOU;;
Table1a;2021;3;30140;31453;Albuquerque, NM;Houston, TX;10140;12266;ABQ;IAH;759;148;23285;UA;8512;23569;WN;447;21354;202131014012266ABQIAH;;
Table1a;2021;3;30140;31703;Albuquerque, NM;New York City, NY (Metropolitan Area);10140;11618;ABQ;EWR;1861;77;34213;UA;3845;38233;AA;3324;29640;202131014011618ABQEWR;;
Table1a;2021;3;30140;31703;Albuquerque, NM;New York City, NY (Metropolitan Area);10140;12197;ABQ;HPN;1861;3;35692;DL;6154;35824;AA;3462;35022;202131014012197ABQHPN;;
Table1a;2021;3;30140;31703;Albuquerque, NM;New York City, NY (Metropolitan Area);10140;12391;ABQ;ISP;1861;4;24010;WN;8049;22094;WN;8049;22094;202131014012391ABQISP;;
Table1a;2021;3;30140;31703;Albuquerque, NM;New York City, NY (Metropolitan Area);10140;12478;ABQ;JFK;1861;177;25178;B6;8338;23407;B6;8338;23407;202131014012478ABQJFK;;
Table1a;2021;3;30140;31703;Albuquerque, NM;New York City, NY (Metropolitan Area);10140;12953;ABQ;LGA;1861;125;29522;AA;5013;30237;WN;2145;22904;202131014012953ABQLGA;;
Table1a;2021;3;30140;31703;Albuquerque, NM;New York City, NY (Metropolitan Area);10140;15070;ABQ;SWF;1861;0;42750;AA;10000;42750;AA;10000;42750;202131014015070ABQSWF;;
Table1a;2021;3;30140;32457;Albuquerque, NM;San Francisco, CA (Metropolitan Area);10140;13796;ABQ;OAK;896;216;19436;WN;9638;19320;WN;9638;19320;202131014013796ABQOAK;;
Table1a;2021;3;30140;32457;Albuquerque, NM;San Francisco, CA (Metropolitan Area);10140;14771;ABQ;SFO;896;188;24607;UA;6493;25554;WN;1346;22169;202131014014771ABQSFO;;
Table1a;2021;3;30140;32457;Albuquerque, NM;San Francisco, CA (Metropolitan Area);10140;14831;ABQ;SJC;896;61;20922;WN;6566;20007;WN;6566;20007;202131014014831ABQSJC;;
Table1a;2021;3;30140;32575;Albuquerque, NM;Los Angeles, CA (Metropolitan Area);10140;10800;ABQ;BUR;677;39;20545;WN;6592;20543;AA;2430;19601;202131014010800ABQBUR;;
Table1a;2021;3;30140;32575;Albuquerque, NM;Los Angeles, CA (Metropolitan Area);10140;12892;ABQ;LAX;677;572;17293;DL;3790;18173;WN;2572;15814;202131014012892ABQLAX;;
Table1a;2021;3;30140;32575;Albuquerque, NM;Los Angeles, CA (Metropolitan Area);10140;12954;ABQ;LGB;677;12;20128;WN;5636;18775;DL;1182;18077;202131014012954ABQLGB;;
Table1a;2021;3;30140;32575;Albuquerque, NM;Los Angeles, CA (Metropolitan Area);10140;13891;ABQ;ONT;677;52;21231;WN;5933;20421;WN;5933;20421;202131014013891ABQONT;;
Table1a;2021;3;30140;32575;Albuquerque, NM;Los Angeles, CA (Metropolitan Area);10140;14908;ABQ;SNA;677;79;22287;WN;6140;21643;AA;3201;21559;202131014014908ABQSNA;;
Table1a;2021;3;30154;31703;Nantucket, MA;New York City, NY (Metropolitan Area);10154;11618;ACK;EWR;218;176;16527;UA;5473;16932;B6;4460;16008;202131015411618ACKEWR;;
Table1a;2021;3;30154;31703;Nantucket, MA;New York City, NY (Metropolitan Area);10154;12197;ACK;HPN;218;78;18908;B6;9958;18857;B6;9958;18857;202131015412197ACKHPN;;
Table1a;2021;3;30154;31703;Nantucket, MA;New York City, NY (Metropolitan Area);10154;12478;ACK;JFK;218;210;15666;B6;7464;15554;B6;7464;15554;202131015412478ACKJFK;;
Table1a;2021;3;30154;31703;Nantucket, MA;New York City, NY (Metropolitan Area);10154;12953;ACK;LGA;218;135;15709;B6;8460;15324;B6;8460;15324;202131015412953ACKLGA;;
Table1a;2021;3;30189;30194;Colorado Springs, CO;Dallas/Fort Worth, TX;11109;11259;COS;DAL;602;194;12276;WN;10000;12276;WN;10000;12276;202131110911259COSDAL;;
Table1a;2021;3;30189;30194;Colorado Springs, CO;Dallas/Fort Worth, TX;11109;11298;COS;DFW;602;343;15447;AA;9800;15363;AA;9800;15363;202131110911298COSDFW;;
Table1a;2021;3;30189;30466;Colorado Springs, CO;Phoenix, AZ;11109;14107;COS;PHX;551;261;12059;WN;8219;12441;F9;1164;6759;202131110914107COSPHX;;
Table1a;2021;3;30189;30852;Colorado Springs, CO;Washington, DC (Metropolitan Area);11109;10821;COS;BWI;1503;65;25159;WN;5386;23890;WN;5386;23890;202131110910821COSBWI;;
Table1a;2021;3;30189;30852;Colorado Springs, CO;Washington, DC (Metropolitan Area);11109;11278;COS;DCA;1503;84;27814;AA;5724;28779;WN;1886;19998;202131110911278COSDCA;;
Table1a;2021;3;30189;30852;Colorado Springs, CO;Washington, DC (Metropolitan Area);11109;12264;COS;IAD;1503;63;30182;UA;6045;34252;WN;2763;20022;202131110912264COSIAD;;
Table1a;2021;3;30189;32575;Colorado Springs, CO;Los Angeles, CA (Metropolitan Area);11109;10800;COS;BUR;833;33;18397;WN;6558;15920;WN;6558;15920;202131110910800COSBUR;;
Table1a;2021;3;30189;32575;Colorado Springs, CO;Los Angeles, CA (Metropolitan Area);11109;12892;COS;LAX;833;109;20347;UA;6444;22123;WN;2251;15275;202131110912892COSLAX;;
Table1a;2021;3;30189;32575;Colorado Springs, CO;Los Angeles, CA (Metropolitan Area);11109;12954;COS;LGB;833;24;14375;WN;8571;12082;WN;8571;12082;202131110912954COSLGB;;
Table1a;2021;3;30189;32575;Colorado Springs, CO;Los Angeles, CA (Metropolitan Area);11109;13891;COS;ONT;833;46;18822;WN;5619;17116;WN;5619;17116;202131110913891COSONT;;
Table1a;2021;3;30189;32575;Colorado Springs, CO;Los Angeles, CA (Metropolitan Area);11109;14908;COS;SNA;833;48;20083;WN;5666;17091;WN;5666;17091;202131110914908COSSNA;;
Table1a;2021;3;30194;30198;Dallas/Fort Worth, TX;Pittsburgh, PA;11259;14122;DAL;PIT;1067;65;20905;WN;9210;20689;WN;9210;20689;202131125914122DALPIT;;
Table1a;2021;3;30194;30198;Dallas/Fort Worth, TX;Pittsburgh, PA;11298;14122;DFW;PIT;1067;432;23832;AA;9359;24038;NK;138;9538;202131129814122DFWPIT;;
Table1a;2021;3;30194;30325;Dallas/Fort Worth, TX;Denver, CO;11259;11292;DAL;DEN;651;1033;13410;WN;9985;13414;WN;9985;13414;202131125911292DALDEN;;
Table1a;2021;3;30194;30325;Dallas/Fort Worth, TX;Denver, CO;11298;11292;DFW;DEN;651;1904;13451;AA;6307;14157;UA;2787;13521;202131129811292DFWDEN;;
Table1a;2021;3;30194;30436;Dallas/Fort Worth, TX;Tucson, AZ;11259;15376;DAL;TUS;824;16;20804;WN;9868;20689;WN;9868;20689;202131125915376DALTUS;;
Table1a;2021;3;30194;30436;Dallas/Fort Worth, TX;Tucson, AZ;11298;15376;DFW;TUS;824;186;22887;AA;9427;22950;UA;345;21131;202131129815376DFWTUS;;
Table1a;2021;3;30194;30466;Dallas/Fort Worth, TX;Phoenix, AZ;11259;14107;DAL;PHX;879;876;14045;WN;9975;14049;WN;9975;14049;202131125914107DALPHX;;
Table1a;2021;3;30194;30466;Dallas/Fort Worth, TX;Phoenix, AZ;11298;14107;DFW;PHX;879;1027;17845;AA;9076;18417;NK;493;9239;202131129814107DFWPHX;;
Table1a;2021;3;30194;30529;Dallas/Fort Worth, TX;Hartford, CT;11259;10529;DAL;BDL;1471;24;28038;WN;8795;26929;WN;8795;26929;202131125910529DALBDL;;
Table1a;2021;3;30194;30529;Dallas/Fort Worth, TX;Hartford, CT;11298;10529;DFW;BDL;1471;212;28695;AA;7766;29380;AA;7766;29380;202131129810529DFWBDL;;
Table1a;2021;3;30194;30559;Dallas/Fort Worth, TX;Seattle, WA;11259;14747;DAL;SEA;1670;445;19365;AS;6464;18836;AS;6464;18836;202131125914747DALSEA;;
Table1a;2021;3;30194;30559;Dallas/Fort Worth, TX;Seattle, WA;11298;14747;DFW;SEA;1670;1292;21553;AA;4881;22716;AS;4334;20536;202131129814747DFWSEA;;
Table1a;2021;3;30194;30615;Dallas/Fort Worth, TX;El Paso, TX;11259;11540;DAL;ELP;562;350;16200;WN;10000;16200;WN;10000;16200;202131125911540DALELP;;
Table1a;2021;3;30194;30615;Dallas/Fort Worth, TX;El Paso, TX;11298;11540;DFW;ELP;562;350;17100;AA;9938;17078;AA;9938;17078;202131129811540DFWELP;;
Table1a;2021;3;30194;30693;Dallas/Fort Worth, TX;Nashville, TN;11259;10693;DAL;BNA;631;550;15721;WN;9929;15676;WN;9929;15676;202131125910693DALBNA;;
Table1a;2021;3;30194;30693;Dallas/Fort Worth, TX;Nashville, TN;11298;10693;DFW;BNA;631;700;17204;AA;9473;17414;F9;263;6943;202131129810693DFWBNA;;
Table1a;2021;3;30194;30852;Dallas/Fort Worth, TX;Washington, DC (Metropolitan Area);11259;10821;DAL;BWI;1217;649;17622;WN;9883;17589;WN;9883;17589;202131125910821DALBWI;;
Table1a;2021;3;30194;30852;Dallas/Fort Worth, TX;Washington, DC (Metropolitan Area);11259;11278;DAL;DCA;1217;278;20277;WN;9808;20183;WN;9808;20183;202131125911278DALDCA;;
Table1a;2021;3;30194;30852;Dallas/Fort Worth, TX;Washington, DC (Metropolitan Area);11259;12264;DAL;IAD;1217;17;22673;WN;7756;21595;WN;7756;21595;202131125912264DALIAD;;
Table1a;2021;3;30194;30852;Dallas/Fort Worth, TX;Washington, DC (Metropolitan Area);11298;10821;DFW;BWI;1217;647;18197;AA;7187;20268;NK;2188;10578;202131129810821DFWBWI;;
Table1a;2021;3;30194;30852;Dallas/Fort Worth, TX;Washington, DC (Metropolitan Area);11298;11278;DFW;DCA;1217;722;25224;AA;9541;25206;AA;9541;25206;202131129811278DFWDCA;;
Table1a;2021;3;30194;30852;Dallas/Fort Worth, TX;Washington, DC (Metropolitan Area);11298;12264;DFW;IAD;1217;352;24861;UA;4994;24532;UA;4994;24532;202131129812264DFWIAD;;
